16:55:06.502507312 : vetrnik/tele/stats/energy_Ws 130
16:55:07.002373090 : vetrnik/tele/stats/energy_Ws 134
16:55:07.002484219 : vetrnik/cmnd/control/contactor 1
16:55:07.003656860 : vetrnik/cmnd/power_board/duty 255
16:55:07.004108413 : vetrnik/tele/control/contactor 5
16:55:07.006065919 : vetrnik/tele/control/contactor 4
16:55:07.502956827 : vetrnik/tele/power_board/time 1227
16:55:07.503056233 : vetrnik/tele/stats/energy_Ws 138
16:55:08.002230349 : vetrnik/tele/stats/energy_Ws 142
16:55:08.002767012 : vetrnik/cmnd/control/contactor 1
16:55:08.004667000 : vetrnik/cmnd/power_board/duty 255
16:55:08.004806351 : vetrnik/tele/control/contactor 5
16:55:08.006734673 : vetrnik/tele/control/contactor 4
16:55:08.503008861 : vetrnik/tele/power_board/time 1228
16:55:08.503162397 : vetrnik/tele/stats/energy_Ws 146
16:55:09.002251495 : vetrnik/cmnd/control/contactor 1
16:55:09.002424753 : vetrnik/tele/stats/energy_Ws 150
16:55:09.003690838 : vetrnik/cmnd/power_board/duty 255
16:55:09.004321204 : vetrnik/tele/control/contactor 5
16:55:09.006290896 : vetrnik/tele/control/contactor 4
16:55:09.502954841 : vetrnik/tele/power_board/time 1229
16:55:09.503074100 : vetrnik/tele/stats/energy_Ws 154
16:55:10.002481658 : vetrnik/tele/stats/energy_Ws 158
16:55:10.002587972 : vetrnik/cmnd/control/contactor 1
16:55:10.003999704 : vetrnik/cmnd/power_board/duty 255
16:55:10.501771105 : vetrnik/tele/power_board/time 1230
16:55:10.501904604 : vetrnik/tele/stats/energy_Ws 162
16:55:11.002217750 : vetrnik/cmnd/control/contactor 1
16:55:11.002401748 : vetrnik/tele/stats/energy_Ws 166
16:55:11.003854962 : vetrnik/cmnd/power_board/duty 255
16:55:11.004214904 : vetrnik/tele/control/contactor 5
16:55:11.006302817 : vetrnik/tele/control/contactor 4
16:55:11.502367303 : vetrnik/tele/power_board/time 1231
16:55:11.502509358 : vetrnik/tele/stats/energy_Ws 170
16:55:12.001994285 : vetrnik/tele/stats/energy_Ws 174
16:55:12.002966613 : vetrnik/cmnd/control/contactor 1
16:55:12.004436715 : vetrnik/tele/control/contactor 5
16:55:12.005113118 : vetrnik/tele/control/contactor 4
16:55:12.005465079 : vetrnik/cmnd/power_board/duty 255
16:55:12.501607416 : vetrnik/tele/power_board/time 1232
16:55:12.501800933 : vetrnik/tele/stats/energy_Ws 178
16:55:13.002346132 : vetrnik/tele/stats/energy_Ws 182
16:55:13.002479724 : vetrnik/cmnd/control/contactor 1
16:55:13.004185936 : vetrnik/tele/control/contactor 5
16:55:13.004416064 : vetrnik/cmnd/power_board/duty 255
16:55:13.006012036 : vetrnik/tele/control/contactor 4
16:55:13.502489093 : vetrnik/tele/power_board/time 1233
16:55:13.502619185 : vetrnik/tele/stats/energy_Ws 186
16:55:14.001572745 : vetrnik/tele/stats/energy_Ws 190
16:55:14.002286463 : vetrnik/cmnd/control/contactor 1
16:55:14.003978916 : vetrnik/cmnd/power_board/duty 255
16:55:14.004183877 : vetrnik/tele/control/contactor 5
16:55:14.006001199 : vetrnik/tele/control/contactor 4
16:55:14.502405276 : vetrnik/tele/power_board/time 1234
16:55:14.502622922 : vetrnik/tele/stats/energy_Ws 194
16:55:15.002946011 : vetrnik/tele/stats/energy_Ws 198
16:55:15.003115973 : vetrnik/cmnd/control/contactor 1
16:55:15.003995357 : vetrnik/tele/control/contactor 5
16:55:15.004334781 : vetrnik/cmnd/power_board/duty 255
16:55:15.006281324 : vetrnik/tele/control/contactor 4
16:55:15.502088015 : vetrnik/tele/power_board/time 1235
16:55:15.502464272 : vetrnik/tele/stats/energy_Ws 202
16:55:16.001583369 : vetrnik/tele/stats/energy_Ws 206
16:55:16.002516844 : vetrnik/cmnd/control/contactor 1
16:55:16.004541572 : vetrnik/tele/control/contactor 5
16:55:16.004765830 : vetrnik/cmnd/power_board/duty 255
16:55:16.005145939 : vetrnik/tele/control/contactor 4
16:55:16.503157913 : vetrnik/tele/power_board/time 1236
16:55:16.503398874 : vetrnik/tele/stats/energy_Ws 210
16:55:17.002032029 : vetrnik/tele/stats/energy_Ws 214
16:55:17.002154010 : vetrnik/cmnd/control/contactor 1
16:55:17.003900703 : vetrnik/tele/control/contactor 5
16:55:17.004009628 : vetrnik/cmnd/power_board/duty 255
16:55:17.005921153 : vetrnik/tele/control/contactor 4
16:55:17.502025064 : vetrnik/tele/power_board/time 1237
16:55:17.502276877 : vetrnik/tele/stats/energy_Ws 218
16:55:18.005375542 : vetrnik/tele/stats/energy_Ws 222
16:55:18.006592090 : vetrnik/cmnd/control/contactor 1
