17:49:06.610679525 : vetrnik/tele/power_board/power 10.7
17:49:06.610891320 : vetrnik/tele/power_board/time 2624
17:49:06.611220466 : vetrnik/tele/power_board/current 1.025
17:49:06.611569631 : vetrnik/tele/stats/energy_Ws 3488
17:49:07.111645722 : vetrnik/tele/power_board/power 11.1
17:49:07.111840739 : vetrnik/tele/power_board/current 1.066
17:49:07.112056386 : vetrnik/tele/stats/energy_Ws 3493
17:49:07.611311131 : vetrnik/tele/power_board/power 10.7
17:49:07.611741239 : vetrnik/tele/power_board/time 2625
17:49:07.611864813 : vetrnik/tele/power_board/current 1.025
17:49:07.612085348 : vetrnik/tele/stats/energy_Ws 3498
17:49:08.110971947 : vetrnik/tele/stats/energy_Ws 3503
17:49:08.611720090 : vetrnik/tele/power_board/time 2626
17:49:08.611849849 : vetrnik/tele/stats/energy_Ws 3508
17:49:09.111558368 : vetrnik/tele/stats/energy_Ws 3513
17:49:09.611136241 : vetrnik/tele/power_board/time 2627
17:49:09.611367536 : vetrnik/tele/stats/energy_Ws 3518
17:49:10.110576947 : vetrnik/tele/stats/energy_Ws 3523
17:49:10.611454478 : vetrnik/tele/power_board/time 2628
17:49:10.611622311 : vetrnik/tele/stats/energy_Ws 3528
17:49:11.111470330 : vetrnik/tele/stats/energy_Ws 3533
17:49:11.148785016 : vetrnik/cmnd/control/contactor 1
17:49:11.150024249 : vetrnik/cmnd/power_board/duty 75
17:49:11.150224767 : vetrnik/tele/control/contactor 5
17:49:11.152269403 : vetrnik/tele/control/contactor 4
17:49:11.610971314 : vetrnik/tele/power_board/power 14.7
17:49:11.611172646 : vetrnik/tele/power_board/time 2629
17:49:11.611419070 : vetrnik/tele/power_board/duty 75
17:49:11.611778846 : vetrnik/tele/power_board/voltage 10.3
17:49:11.612094733 : vetrnik/tele/power_board/current 1.435
17:49:11.612455990 : vetrnik/tele/stats/energy_Ws 3538
17:49:12.111875808 : vetrnik/tele/power_board/power 15.2
17:49:12.112066714 : vetrnik/tele/power_board/current 1.476
17:49:12.112370527 : vetrnik/tele/stats/energy_Ws 3545
17:49:12.611494809 : vetrnik/tele/power_board/power 14.7
17:49:12.611638494 : vetrnik/tele/power_board/time 2630
17:49:12.611941399 : vetrnik/tele/power_board/current 1.435
17:49:12.612268323 : vetrnik/tele/stats/energy_Ws 3552
17:49:13.111136496 : vetrnik/tele/stats/energy_Ws 3559
17:49:13.611133200 : vetrnik/tele/power_board/time 2631
17:49:13.611381902 : vetrnik/tele/stats/energy_Ws 3566
17:49:14.111579771 : vetrnik/tele/stats/energy_Ws 3573
17:49:14.611257920 : vetrnik/tele/power_board/time 2632
17:49:14.611450993 : vetrnik/tele/stats/energy_Ws 3580
17:49:15.111120198 : vetrnik/tele/stats/energy_Ws 3587
17:49:15.611653621 : vetrnik/tele/power_board/time 2633
17:49:15.611851286 : vetrnik/tele/stats/energy_Ws 3594
17:49:16.111448844 : vetrnik/tele/stats/energy 0.001
17:49:16.111669343 : vetrnik/tele/stats/energy_Ws 1
17:49:16.611141475 : vetrnik/tele/power_board/time 2634
17:49:16.611363659 : vetrnik/tele/stats/energy_Ws 8
17:49:17.111000383 : vetrnik/tele/power_board/power 15.0
17:49:17.111153901 : vetrnik/tele/power_board/voltage 10.5
17:49:17.111494380 : vetrnik/tele/stats/energy_Ws 15
17:49:17.611579490 : vetrnik/tele/power_board/power 14.7
17:49:17.611815415 : vetrnik/tele/power_board/time 2635
17:49:17.612009655 : vetrnik/tele/power_board/voltage 10.3
17:49:17.612361190 : vetrnik/tele/stats/energy_Ws 22
17:49:18.111247511 : vetrnik/tele/stats/energy_Ws 29
17:49:18.611008734 : vetrnik/tele/power_board/power 15.0
17:49:18.611221529 : vetrnik/tele/power_board/time 2636
17:49:18.611406695 : vetrnik/tele/power_board/voltage 10.5
17:49:18.611754100 : vetrnik/tele/stats/energy_Ws 36
17:49:19.111900043 : vetrnik/tele/stats/energy_Ws 43
17:49:19.611537768 : vetrnik/tele/power_board/power 14.7
17:49:19.611736674 : vetrnik/tele/power_board/time 2637
17:49:19.611911284 : vetrnik/tele/power_board/voltage 10.3
17:49:19.612292300 : vetrnik/tele/stats/energy_Ws 50
17:49:20.111086603 : vetrnik/tele/stats/energy_Ws 57
17:49:20.610988585 : vetrnik/tele/power_board/power 15.0
17:49:20.611172399 : vetrnik/tele/power_board/time 2638
17:49:20.611365527 : vetrnik/tele/power_board/voltage 10.5
